TEXT_REMARKS,ACTION_CATEGORY,PREDICTED_DEPARTMENT,CONFIDENCE_SCORE,CONFIDENCE_RANGE,MATCH_STATUS
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
meter ELT glow on without load at the time of testing so meter needs to be replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.21,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of testing so meter need replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.99,100-90% Very High,Correct
METER VOLTAGE PARAMETER ABNORMAL VOLTAGE SHOWING IN METER DISPLAY V BUT ACTUAL VOLTAGE V SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,95.03,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC Corrupted So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.76,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
meter display segment is defective at the time of testing so meter needs to be replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.98,100-90% Very High,Correct
RTC CORRUPT SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.91,100-90% Very High,Correct
There is a discrepancy between Phase Current and Neutral current as displaye on energy meter Phase Current A Neutral Current A crossverification with AccuCheck indicates that both Phase and Neutral currents are equal so Meter is defective need to be Replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,97.18,100-90% Very High,Correct
meter calibration pulse not blinking at load also no display at the time of testing so meter needs to be replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.47,100-90% Very High,Correct
Meter RTC Corrupted So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.76,100-90% Very High,Correct
Meter RTC Corrupted So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.76,100-90% Very High,Correct
Meter RTC Corrupted So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.76,100-90% Very High,Correct
Meter RTC Corrupted So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.76,100-90% Very High,Correct
Meter RTC found fail Hence meter is defective and replacement required for the same,Meter Replacement / Installation Team,Meter Replacement / Installation Team,100.0,100-90% Very High,Correct
Meter RTC found fail Hence meter is defective and replacement required for the same,Meter Replacement / Installation Team,Meter Replacement / Installation Team,100.0,100-90% Very High,Correct
Meter RTC Corrupted So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.76,100-90% Very High,Correct
Meter display Calibration pulse is not working so meter is defective need to be replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.61,100-90% Very High,Correct
Meter RTC Corrupted So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.76,100-90% Very High,Correct
Meter RTC Corrupted So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.76,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter rtc failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter display segment found defective so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.92,100-90% Very High,Correct
Meter display segments are not properly visible so meter is defective and need replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.91,100-90% Very High,Correct
meter rtc failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter Display Segment not Proper Showing So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.84,100-90% Very High,Correct
meter rtc failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter rtc failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC Corrupted So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.76,100-90% Very High,Correct
Meter RTC Corrupted So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.76,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter ELT glow on without load at the time of testing so meter needs to be replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.21,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC found fail Hence meter is defective and replacement required for the same,Meter Replacement / Installation Team,Meter Replacement / Installation Team,100.0,100-90% Very High,Correct
Meter RTC Corrupted So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.76,100-90% Very High,Correct
Meter RTC Corrupted So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.76,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
meter calibration pulse blinking on IMAX on without load at the time of testing so meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.69,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Earth LED found ON even on External Load KW hence meter is defective and replacement required for the same,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.65,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Earth LED found ON even on External Load KW hence meter is defective and replacement required for the same,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.65,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
METER PULSE ABNORMAL BLINKING SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.61,100-90% Very High,Correct
meter RTC fail so meter defective need replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,100.0,100-90% Very High,Correct
Meter Instantaneous B Phase Voltage Found zero where V is supllied ro consuner also Burnt and Cracks found on BPhase CT hence meter is defective and replacement required for the same,Meter Replacement / Installation Team,Meter Replacement / Installation Team,79.53,90-75% High,Correct
Meter Display showing RTC failedSo meter defective need to replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.83,100-90% Very High,Correct
Meter RTC Corrupted So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.76,100-90% Very High,Correct
Meter RTC found fail Hence meter is defective and replacement required for the same,Meter Replacement / Installation Team,Meter Replacement / Installation Team,100.0,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter Display Segment not Proper Showing So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.84,100-90% Very High,Correct
Meter RTC Corrupted So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.76,100-90% Very High,Correct
Meter RTC found fail Hence meter is defective and replacement required for the same,Meter Replacement / Installation Team,Meter Replacement / Installation Team,100.0,100-90% Very High,Correct
Current Parameter of Phase and Neutral is not matching also RTC found Fail therefore same is defective therefore same needs to be replace Contacted Person Naveen,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.2,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC Corrupted So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.76,100-90% Very High,Correct
Meter RTC Corrupted So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.76,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
ABNORMAL PULSE BLINKING IN METER SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.61,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter tested as per safety norms meter No display so meter defective meter need to replacment,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.48,100-90% Very High,Correct
Current Parameter of Phase and Neutral is not matching therefore same is defective therefore same needs to be replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.43,100-90% Very High,Correct
meter display figure upset not proper so meter defective need replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.53,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC found fail Hence meter is defective and replacement required for the same,Meter Replacement / Installation Team,Meter Replacement / Installation Team,100.0,100-90% Very High,Correct
meter calibration pulse abnormal blinking so meter defective meter need to replacment,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.56,100-90% Very High,Correct
meter rtc failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC Corrupted So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.76,100-90% Very High,Correct
meter testes as per safety norms meter kwh reading not incriment so meter defective meter need replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,97.97,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
meter RTC fail so meter defective need replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,100.0,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter ELT on at same current so meter defective need to replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.99,100-90% Very High,Correct
Meter display segments are not properly visible so meter is defective and need replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.91,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
meter rtc failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter rtc failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC Corrupted So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.76,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC Corrupted So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.76,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter Calibration Pulse are blinking abnormal at the time of testingSo meter is defective and need replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.87,100-90% Very High,Correct
Meter display segment found defective so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.92,100-90% Very High,Correct
Meter RTC Corrupted So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.76,100-90% Very High,Correct
METER PULSE ABNORMAL BLINKING AT A TIME OF TESTING SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.47,100-90% Very High,Correct
meter RTC fail at the time of testing so meter needs to be replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
ABNORMAL PULSE BLINKING IN METER SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.61,100-90% Very High,Correct
Meter RTC fail at the time of testing so meter needs to be replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
RTC CORRUPT SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.91,100-90% Very High,Correct
Meter display segment defective at the time of testing so meter need replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,100.0,100-90% Very High,Correct
Meter display segments are not properly visible so meter is defective and need replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.91,100-90% Very High,Correct
meter rtc failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
meter rtc failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
meter rtc failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
meter rtc failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter Rtc failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter Display showing Low Voltage mismatched with reference hence meter is defective and replacement required for the same Meter is of Class,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.21,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter display segment defective at the time of testing so meter could not be test,Meter Replacement / Installation Team,Meter Replacement / Installation Team,97.4,100-90% Very High,Correct
meter Rtc failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter display found blank so meter defective need replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.75,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter display segments are not properly visible so meter is defective and need replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.91,100-90% Very High,Correct
RTC CORRUPT SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.91,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter display Segment is found defective so Meter is Defective needs to be replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.98,100-90% Very High,Correct
meter display sagment defective so Meter defective meter need to replacment,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.73,100-90% Very High,Correct
meter rtc failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter rtc failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
meter rtc failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC Corrupted So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.76,100-90% Very High,Correct
Meter RTC Corrupted So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.76,100-90% Very High,Correct
Meter pulse Abnormal blinking So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.62,100-90% Very High,Correct
Meter RTC Corrupted So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.76,100-90% Very High,Correct
Meter RTC Corrupted So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.76,100-90% Very High,Correct
RTC is corrupt hence Meter replacement is required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.91,100-90% Very High,Correct
Meter Reading Reverse Jump So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.68,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
meter display found blankand ic terminal found burnt so meter defective need replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.18,100-90% Very High,Correct
