SR_NO,TEXT_REMARKS,ACTION_CATEGORY,HOLD_CANCEL_REASON,processed_text
8419,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8420,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8422,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8423,meter tested as per safety norms,,,meter test safety norm
8424,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8426,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8427,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8428,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8430,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8431,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8432,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
8433,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
8434,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8435,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8436,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8437,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8438,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8439,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8440,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8441,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8442,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8443,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8445,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8446,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8447,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
8448,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
8449,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8450,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8451,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8453,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8454,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8455,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8456,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8457,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8459,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8460,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
8461,meter tested as per safety norms,,,meter test safety norm
8462,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8463,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
8464,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8465,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
8466,meter tested as per safety norms,,,meter test safety norm
8467,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
8468,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8469,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
8470,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
8471,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8473,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8474,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8475,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8476,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8477,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8478,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8479,meter tested as per safety norms,,,meter test safety norm
8480,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8482,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8483,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
8484,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
8485,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8486,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8487,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8488,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8489,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8490,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8491,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8493,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8495,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
8496,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8497,meter tested as per sefty norms meter accuracy found within limit at the time of testing,,,meter test sefty norm meter accuracy limit time test
8498,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8499,meter tested as per safety norms,,,meter test safety norm
8500,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
8501,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8502,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8503,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8504,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8505,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8506,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
8507,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8508,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8509,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
8510,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8511,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
8512,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting composite meter testing,,,meter test safety norm oftpddlaccuracy limitatatime oftest composite meter test
8513,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting composite meter testing,,,meter test safety norm oftpddlaccuracy limitatatime oftest composite meter test
8514,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting composite meter testing,,,meter test safety norm oftpddlaccuracy limitatatime oftest composite meter test
8515,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
8516,meter tested as per safety norms,,,meter test safety norm
8517,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8518,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8519,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8520,meter tested as per safety norms,,,meter test safety norm
8521,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8522,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8523,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8524,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8525,meter tested as per all safety norms all display parameters found ok at the time of meter testing meter change no,,,meter test safety norm display parameter ok time meter test meter change
8527,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8529,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8531,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
8533,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
8534,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8535,meter tested as per safety norma meter accuracy found within limit at the time of testing,,,meter test safety norma meter accuracy limit time test
8536,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
8538,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8540,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8541,meter tested as per safety norms,,,meter test safety norm
8542,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8543,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8545,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
8546,meter tested as per safety norms,,,meter test safety norm
8547,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8548,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting composite meter testing,,,meter test safety norm oftpddlaccuracy limitatatime oftest composite meter test
8549,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8550,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
8551,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8552,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8553,meter tested as per all safety norms and accuracy found within limit at the time of testingseal not found in meter box,,,meter test safety norm accuracy limit time testingseal meter box
8554,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8555,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
8557,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
8559,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8560,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8561,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8562,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
8563,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8564,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8565,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8566,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8568,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8569,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
8570,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8571,meter tested as per safety norms,,,meter test safety norm
8572,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8573,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8574,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
8575,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8576,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8578,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
8579,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8581,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8582,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
8583,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8584,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
8585,meter tested as per safety norms,,,meter test safety norm
8587,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8588,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8589,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
8590,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8591,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8592,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8593,meter tested as per safety norms,,,meter test safety norm
8594,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8595,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8596,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8597,meter tested as per safety norms,,,meter test safety norm
8598,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8599,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8602,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8603,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8605,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8606,meter tested as per all safety norms all display parameters found ok at the time of meter but meter not in usetesting,,,meter test safety norm display parameter ok time meter meter usetest
8607,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8608,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8609,meter tested as per safety norms,,,meter test safety norm
8610,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8611,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
8612,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8613,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8614,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
8615,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8616,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
8617,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8618,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8619,meter tested as per safety norms,,,meter test safety norm
8621,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8623,meter tested as per safety,,,meter test safety
8624,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8626,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8627,meter tested as per safety norms,,,meter test safety norm
8628,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8629,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8630,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8631,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8632,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8634,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8635,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8636,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8637,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8639,meter tested as per all safety norms all display parameters found ok at the time of meter testing paper seal pasted on meter box,,,meter test safety norm display parameter ok time meter test paper seal past meter box
8640,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8641,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8642,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8643,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8644,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8645,meter tested as per safety norms,,,meter test safety norm
8646,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
8647,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
8648,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8650,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8651,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8652,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8653,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8654,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8655,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8656,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8657,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
8658,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8659,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8662,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8663,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8664,meter rtc failed at the time of testing so meter need to be changed,,,meter rtc fail time test meter ne chang
8665,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8667,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8668,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8669,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8672,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
8673,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
8675,meter tested as per safety norms,,,meter test safety norm
8677,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8678,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8679,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8680,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8681,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8682,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8683,meter tested as per safety norms,,,meter test safety norm
8684,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8685,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8686,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
8688,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8689,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8690,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8691,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8692,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
8693,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8694,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8695,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8696,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8699,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8701,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8706,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8707,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
8708,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8709,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8710,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8711,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8713,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8715,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8716,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8717,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
8718,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
8719,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
8720,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
8721,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8722,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8723,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8724,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8726,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8727,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
8729,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
8730,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8731,meter tested as per safety norms,,,meter test safety norm
8732,meter tested as per safety normse meter accuracy found within limit at the time of testing,,,meter test safety normse meter accuracy limit time test
8733,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8734,meter tested as per safety norms,,,meter test safety norm
8736,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8737,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8738,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8739,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8740,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting composite meter testing,,,meter test safety norm oftpddlaccuracy limitatatime oftest composite meter test
8741,meter tested as per safety norms,,,meter test safety norm
8742,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
8743,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8744,meter tested as per all safety norms all display parameters found ok at the time of meter testing contacted person vikram rawat,,,meter test safety norm display parameter ok time meter test contact person vikram rawat
8745,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
8747,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8750,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8751,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
